Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
Yinflow,SP,SÃO PAULO,Serviços Profissionais,B2C,SaaS,2013,1-5,sbase.me/s/yinflow,Ideação
Famivita,SP,SÃO PAULO,Saúde e Bem-estar,B2C,E-commerce,2015,6-10,sbase.me/s/famivita,Tração
ClickSitter,SP,SÃO PAULO,Serviços Profissionais,B2B2C,Marketplace,2015,6-10,sbase.me/s/clicksitter,Tração
Archie,SP,SÃO PAULO,Serviços Profissionais,B2C,Marketplace,2017,6-10,sbase.me/s/archie,Tração
VCS² pro,SP,SÃO PAULO,Serviços Profissionais,B2B,Outros,2008,1-5,sbase.me/s/vcs²-pro,Ideação
enjoy,SP,SÃO PAULO,Varejo / Atacado,B2B2C,Hardware,2018,6-10,sbase.me/s/enjoy,Operação
EVERTON SOARES ALVES 25160259805,SP,SÃO PAULO,TIC e Telecom,B2B2C,SaaS,2017,6-10,sbase.me/s/everton-soares-alves-25160259805,Operação
Lnormand Interiores,SP,SÃO PAULO,Construção Civil,B2S,Outros,2015,6-10,sbase.me/s/lnormand-interiores,Tração
Hotel,SP,SÃO CARLOS,Eventos e Turismo,B2B2C,Marketplace,2018,6-10,sbase.me/s/hotel,Operação
ONOVOLAB,SP,SÃO BERNARDO DO CAMPO,Serviços Profissionais,B2B,Outros,2018,21-50,sbase.me/s/onovolab,Tração
Eh!Aqui,SP,SÃO PAULO,Recursos Humanos,B2B2C,Marketplace,1978,1-5,sbase.me/s/ehaqui,Ideação
Edoos,SP,PRESIDENTE PRUDENTE,Educação,B2B,SaaS,2016,6-10,sbase.me/s/edoos,Operação
Love4KIDS,SP,CAMPINAS,Comunicação e Mídia,B2B2C,Venda de dados,2018,6-10,sbase.me/s/love4kids,Operação
Vertze - Tour Virtual,SP,SÃO PAULO,Vendas e Marketing,B2C,Outros,2017,6-10,sbase.me/s/vertze-tour-virtual,Tração
Hash,SP,SÃO PAULO,Finanças,B2B,Outros,2017,21-50,sbase.me/s/hash,Tração
VIBRATTO,SP,SÃO PAULO,Finanças,B2B,Outros,2011,6-10,sbase.me/s/vibratto,Tração
PitaiaBank,SP,LIMEIRA,Finanças,B2C,Outros,2018,6-10,sbase.me/s/pitaiabank,Tração
Mais Valor - Aceleradora de Pequenos Negócios,SP,SÃO JOSÉ DOS CAMPOS,Varejo / Atacado,B2B,Marketplace,2018,1-5,sbase.me/s/mais-valor-aceleradora-de-pequenos-negocios,Ideação
Arquiteia,SP,SÃO PAULO,Construção Civil,B2B2C,Outros,2017,6-10,sbase.me/s/arquiteia,Operação
MT Soluções,SP,GUARULHOS,E-commerce,B2B,E-commerce,2011,21-50,sbase.me/s/mt-solucoes,Tração
Upcycle,SP,SÃO PAULO,Indústria,B2B,SaaS,2017,1-5,sbase.me/s/upcycle,Ideação
QEdu,SP,SÃO JOSÉ DOS CAMPOS,Educação,B2G,SaaS,2017,11-20,sbase.me/s/qedu,Operação
Aerofleet,SP,SÃO JOSÉ DOS CAMPOS,Transportes,B2B,Outros,2016,1-5,sbase.me/s/aerofleet,Ideação
Beedoo Software,SP,PRESIDENTE PRUDENTE,Desenvolvimento de Software,B2B,Licenciamento,2015,21-50,sbase.me/s/beedoo-software,Tração
Startup Realize,SP,SÃO PAULO,Educação,B2B2C,Marketplace,2018,1-5,sbase.me/s/startup-realize,Ideação
debitto,SP,SÃO PAULO,Finanças,B2B,SaaS,2018,6-10,sbase.me/s/debitto,Operação
Moovieplay,SP,PINDAMONHANGABA,Entretenimento,B2B,SaaS,2016,6-10,sbase.me/s/moovieplay,Tração
Anesthy,SP,SÃO PAULO,Saúde e Bem-estar,B2B,Outros,2016,6-10,sbase.me/s/anesthy,Operação
BioLambda,SP,SÃO PAULO,Hardware,B2B,Hardware,2017,6-10,sbase.me/s/biolambda,Tração
AIDAX - API Analytics,SP,SÃO JOSÉ DOS CAMPOS,Big Data,B2B,API,2013,21-50,sbase.me/s/aidax-api-analytics,Tração
Você Recicla,SP,SÃO JOSÉ DOS CAMPOS,Meio Ambiente,B2B2C,Marketplace,2018,6-10,sbase.me/s/voce-recicla,Operação
TATech Pesquisa e Desenvolvimento Ltda.,SP,SÃO JOSÉ DOS CAMPOS,Indústria,B2B,Outros,2016,6-10,sbase.me/s/tatech-pesquisa-e-desenvolvimento-ltda,Tração
Enesco - Expector,SP,SÃO JOSÉ DOS CAMPOS,Saúde e Bem-estar,B2B2C,Outros,2002,6-10,sbase.me/s/enesco-expector,Operação
4SMART,SP,SÃO JOSÉ DOS CAMPOS,Hardware,B2B,Hardware,2017,1-5,sbase.me/s/4smart,Ideação
SuperGift,SP,SÃO PAULO,Internet,B2C,Marketplace,2017,6-10,sbase.me/s/supergift,Operação
88i,SP,SÃO PAULO,Seguros,B2B2C,Outros,2018,11-20,sbase.me/s/88i,Operação
Orolab,SP,SÃO CARLOS,Saúde e Bem-estar,B2B,Outros,2018,6-10,sbase.me/s/orolab,Tração
ODM- Optimized Decision Making,SP,BRAGANÇA PAULISTA,Indústria,B2B,Outros,2017,6-10,sbase.me/s/odm-optimized-decision-making,Operação
Preciatti,SP,SÃO PAULO,Serviços Profissionais,B2B,SaaS,2003,6-10,sbase.me/s/preciatti,Tração
Quintessa,SP,SÃO PAULO,Outros,B2B,Outros,2008,21-50,sbase.me/s/quintessa,Tração
Bloco1,SP,SÃO PAULO,Finanças,B2B2C,Marketplace,2018,6-10,sbase.me/s/bloco1,Operação
Robbi9,SP,SÃO PAULO,Finanças,B2B,SaaS,2015,21-50,sbase.me/s/robbi9,Tração
Aquarium,SP,SANTOS,Direito,B2S,Outros,2017,1-5,sbase.me/s/aquarium,Ideação
BankSe,SP,CAMPINAS,Finanças,B2B2C,API,2017,6-10,sbase.me/s/bankse,Tração
GFC - Gestão Financeira Criativa,SP,SÃO PAULO,Finanças,B2B2C,Outros,2016,6-10,sbase.me/s/gfc-gestao-financeira-criativa,Tração
InfoProp,SP,GUARULHOS,Imobiliário,B2B,SaaS,2017,6-10,sbase.me/s/infoprop,Operação
Explorando TI,SP,CAMPINAS,Educação,B2C,Outros,2018,1-5,sbase.me/s/explorando-ti,Ideação
IAPRENDI,SP,TABOÃO DA SERRA,Educação,B2B2C,Marketplace,2015,6-10,sbase.me/s/iaprendi,Operação
Tattoo Já,SP,SÃO PAULO,Internet,B2B2C,SaaS,2018,6-10,sbase.me/s/tattoo-ja,Operação
Quero Pedalar,SP,SOROCABA,Esportes,B2C,Consumer,2018,6-10,sbase.me/s/quero-pedalar,Operação
Encontre Cursos,SP,SÃO PAULO,Educação,B2B2C,Marketplace,2017,1-5,sbase.me/s/encontre-cursos,Ideação
Zippay,SP,CAMPINAS,Finanças,B2B2C,Marketplace,2018,1-5,sbase.me/s/zippay,Ideação
Curtir sua Cidade,SP,CAMPINAS,Entretenimento,B2B,Outros,2016,6-10,sbase.me/s/curtir-sua-cidade,Operação
APOLLO ONIBUS e-marketeplace,SP,RIBEIRÃO PRETO,Automobilismo,B2B2C,Marketplace,2000,1-5,sbase.me/s/apollo-onibus-e-marketeplace,Ideação
Outbike,SP,SÃO PAULO,Esportes,B2B2C,Outros,2015,6-10,sbase.me/s/outbike,Tração
Peneirando,SP,SÃO PAULO,Construção Civil,S/N,Outros,2016,6-10,sbase.me/s/peneirando,Operação
Equalize,SP,SÃO PAULO,Indústria,B2B,SaaS,2017,6-10,sbase.me/s/equalize,Operação
CronApp,SP,SÃO PAULO,Desenvolvimento de Software,B2B2C,SaaS,2017,11-20,sbase.me/s/cronapp,Operação
GoingDutch,SP,RIBEIRÃO PRETO,Produtos de Consumo,B2B,Marketplace,2017,6-10,sbase.me/s/goingdutch,Operação
Diplomando,SP,SÃO PAULO,Educação,S/N,SaaS,2016,6-10,sbase.me/s/diplomando,Tração
HubJur,SP,GUARULHOS,Outros,S/N,Marketplace,2015,6-10,sbase.me/s/hubjur,Tração
Lista Online,SP,SÃO PAULO,Vendas e Marketing,B2B2C,Outros,1989,6-10,sbase.me/s/lista-online,Operação
Corujando,SP,SANTO ANDRÉ,Casa e Família,B2C,Consumer,2015,1-5,sbase.me/s/corujando,Ideação
Keepz,SP,SÃO PAULO,Varejo / Atacado,B2B2C,Marketplace,2015,6-10,sbase.me/s/keepz,Operação
Escolab3D,SP,SÃO PAULO,Educação,B2B2C,API,2006,6-10,sbase.me/s/escolab3d,Operação
4Clinics,SP,CATANDUVA,Saúde e Bem-estar,S/N,SaaS,2015,6-10,sbase.me/s/4clinics,Tração
EMPREGARE.com,SP,SÃO PAULO,Desenvolvimento de Software,B2C,S/N,2013,6-10,sbase.me/s/empregarecom,Tração
OALOO Impressão 3D,SP,SÃO PAULO,Vendas e Marketing,B2B,Outros,2015,6-10,sbase.me/s/oaloo-impressao-3d,Tração
Sofistquadros - Quadros Decorativos,SP,SÃO PAULO,E-commerce,B2C,S/N,2016,6-10,sbase.me/s/sofistquadros-quadros-decorativos,Tração
FLIIG,SP,SÃO PAULO,E-commerce,S/N,S/N,2015,6-10,sbase.me/s/fliig,Operação
Prolancer,SP,SÃO PAULO,TIC e Telecom,B2C,Marketplace,2011,11-20,sbase.me/s/prolancer,Operação
InvesteApp,SP,SÃO PAULO,Finanças,B2C,Outros,2015,1-5,sbase.me/s/investeapp,Ideação
AcessoMasculino.com,SP,SÃO PAULO,Varejo / Atacado,B2C,S/N,2015,6-10,sbase.me/s/acessomasculinocom,Tração
HelpFix,SP,SÃO PAULO,Mobile,B2C,S/N,2015,6-10,sbase.me/s/helpfix,Tração
Umana Media House,SP,SÃO PAULO,Comunicação e Mídia,S/N,Outros,2005,6-10,sbase.me/s/umana-media-house,Tração
CIRCUITO NETWORKING,SP,MOGI DAS CRUZES,Educação,S/N,S/N,2015,6-10,sbase.me/s/circuito-networking,Tração
Rivendel Tecnologia,SP,SÃO PAULO,TIC e Telecom,B2B,S/N,2013,11-20,sbase.me/s/rivendel-tecnologia,Operação
Elefante Verde,SP,CAMPINAS,Internet,B2B,SaaS,2011,11-20,sbase.me/s/elefante-verde,Operação
Educity Game,SP,ITAPECERICA DA SERRA,Educação,B2C,SaaS,2014,6-10,sbase.me/s/educity-game,Tração
Menty,SP,SÃO PAULO,Educação,P2P,S/N,2015,1-5,sbase.me/s/menty,Ideação
Fluxuz,SP,SÃO PAULO,Serviços Profissionais,B2B,Marketplace,2015,1-5,sbase.me/s/fluxuz,Ideação
SitePx,SP,CAMPINAS,Internet,B2C,SaaS,2011,11-20,sbase.me/s/sitepx,Operação
DEV Tecnologia,SP,SÃO PAULO,TIC e Telecom,B2B,S/N,2013,11-20,sbase.me/s/dev-tecnologia,Operação
NEARBEE,SP,SÃO PAULO,Saúde e Bem-estar,S/N,S/N,2014,6-10,sbase.me/s/nearbee,Tração
Calango Design,SP,SÃO JOSÉ DO RIO PRETO,Comunicação e Mídia,S/N,S/N,2013,6-10,sbase.me/s/calango-design,Tração
Pague Verde,SP,SÃO PAULO,Meio Ambiente,S/N,S/N,2014,6-10,sbase.me/s/pague-verde,Operação
Programa Consumer,SP,SÃO PAULO,Mobile,B2B,SaaS,2015,6-10,sbase.me/s/programa-consumer,Tração
Primeiro Livro,SP,SÃO PAULO,Educação,S/N,S/N,2014,6-10,sbase.me/s/primeiro-livro,Tração
Electi,SP,SÃO PAULO,Educação,S/N,S/N,2014,6-10,sbase.me/s/electi,Tração
Cupom Valido,SP,SÃO PAULO,Internet,B2C,E-commerce,2013,6-10,sbase.me/s/cupom-valido,Tração
Vertude,SP,RIO CLARO,TIC e Telecom,B2B,Marketplace,2013,6-10,sbase.me/s/vertude,Tração
Acelerato,SP,CAMPINAS,Outros,S/N,SaaS,2011,6-10,sbase.me/s/acelerato,Tração
visita.online,SP,SÃO PAULO,Comunicação e Mídia,B2C,SaaS,2013,6-10,sbase.me/s/visitaonline,Tração
Boilesen Associates,SP,SÃO PAULO,Outros,B2B,S/N,2015,6-10,sbase.me/s/boilesen-associates,Operação
Melhortaxa,SP,MARTINÓPOLIS,Finanças,B2C,S/N,2014,21-50,sbase.me/s/melhortaxa,Tração
Speedio,SP,SÃO PAULO,Internet,B2B,S/N,2014,6-10,sbase.me/s/speedio,Operação
Marttech - Desenvolvimento de Software Ltda ME.,SP,SÃO PAULO,Outros,S/N,Outros,2011,21-50,sbase.me/s/marttech-desenvolvimento-de-software-ltda-me,Tração
Invoop,SP,SÃO PAULO,Finanças,B2C,Marketplace,2015,6-10,sbase.me/s/invoop,Tração
Wetok Software,SP,SÃO PAULO,Mobile,B2C,S/N,2014,6-10,sbase.me/s/wetok-software,Tração
NutriSoft Brazil,SP,CAMPINAS,Saúde e Bem-estar,B2C,SaaS,2014,6-10,sbase.me/s/nutrisoft-brazil,Operação
Fitness4us,SP,SÃO PAULO,Saúde e Bem-estar,S/N,SaaS,2013,1-5,sbase.me/s/fitness4us,Ideação
Widbook,SP,SÃO PAULO,Internet,S/N,S/N,2012,6-10,sbase.me/s/widbook,Operação
Go-On Tech Informática - Ltda,SP,SÃO PAULO,TIC e Telecom,B2B,S/N,2014,21-50,sbase.me/s/go-on-tech-informatica-ltda,Tração
Lab 212,SP,JUNDIAÍ,Comunicação e Mídia,B2B,E-commerce,2010,21-50,sbase.me/s/lab-212,Tração
Piattino,SP,SÃO PAULO,Outros,B2C,E-commerce,2010,21-50,sbase.me/s/piattino,Tração
Senhor Smart,SP,SÃO PAULO,Outros,S/N,Outros,2014,6-10,sbase.me/s/senhor-smart,Tração
dod,SP,SÃO PAULO,Finanças,B2C,Marketplace,2011,6-10,sbase.me/s/dod,Tração
Eco Circuito,SP,VINHEDO,Outros,B2B,S/N,2014,6-10,sbase.me/s/eco-circuito,Tração
Ellevari,SP,SÃO PAULO,Outros,B2C,S/N,2014,6-10,sbase.me/s/ellevari,Tração
Be My Guest,SP,SÃO PAULO,Entretenimento,B2C,E-commerce,2013,6-10,sbase.me/s/be-my-guest,Operação
Jornalistica,SP,SÃO CARLOS,Comunicação e Mídia,S/N,S/N,2015,6-10,sbase.me/s/jornalistica,Tração
FindMe,SP,RIBEIRÃO PRETO,Segurança e Defesa,B2B,SaaS,2014,6-10,sbase.me/s/findme,Tração
Padrim,SP,SOROCABA,Internet,S/N,Marketplace,2014,6-10,sbase.me/s/padrim,Operação
Oprestador,SP,SÃO JOSÉ DOS CAMPOS,Outros,P2P,E-commerce,2014,6-10,sbase.me/s/oprestador,Tração
Infoqplan e-Business,SP,SÃO PAULO,Internet,B2B,E-commerce,2010,6-10,sbase.me/s/infoqplan-e-business,Operação
Protoptimus,SP,SÃO PAULO,Hardware,B2C,S/N,2013,6-10,sbase.me/s/protoptimus,Operação
H3Talent,SP,SANTA ISABEL,TIC e Telecom,B2C,SaaS,2013,6-10,sbase.me/s/h3talent,Operação
Sua Lista - Material escolar sem sair de casa,SP,SÃO PAULO,E-commerce,B2C,S/N,2015,6-10,sbase.me/s/sua-lista-material-escolar-sem-sair-de-casa,Tração
Viajar Temporada,SP,SÃO PAULO,Eventos e Turismo,S/N,SaaS,2011,6-10,sbase.me/s/viajar-temporada,Tração
Styme,SP,SÃO PAULO,Mobile,B2C,S/N,2014,6-10,sbase.me/s/styme,Tração
99jobs,SP,PINDAMONHANGABA,Outros,B2C,S/N,2013,11-20,sbase.me/s/99jobs,Operação
Contrato Rápido,SP,SÃO CARLOS,TIC e Telecom,B2B,SaaS,2013,6-10,sbase.me/s/contrato-rapido,Tração
Izepa.me,SP,SÃO PAULO,Outros,S/N,Outros,2015,6-10,sbase.me/s/izepame,Tração
vpEventos,SP,SÃO PAULO,Eventos e Turismo,B2C,S/N,2014,6-10,sbase.me/s/vpeventos,Tração
Persea Labs,SP,SÃO PAULO,Mobile,S/N,E-commerce,2012,6-10,sbase.me/s/persea-labs,Operação
Esportividade,SP,SÃO PAULO,Comunicação e Mídia,S/N,E-commerce,2013,6-10,sbase.me/s/esportividade,Tração
Marmotex,SP,SÃO PAULO,E-commerce,S/N,Marketplace,2014,6-10,sbase.me/s/marmotex,Tração
Distrito Administradora de Espaços LTDA,SP,RIO CLARO,Outros,B2B,S/N,2014,6-10,sbase.me/s/distrito-administradora-de-espacos-ltda,Tração
Desconto e Cupom,SP,PRAIA GRANDE,Varejo / Atacado,S/N,E-commerce,2014,6-10,sbase.me/s/desconto-e-cupom,Operação
CooperLojas,SP,SÃO PAULO,Outros,B2B,S/N,2012,6-10,sbase.me/s/cooperlojas,Tração
Empreender Sem Crise,SP,GUARULHOS,Outros,B2C,SaaS,2015,1-5,sbase.me/s/empreender-sem-crise,Ideação
NeoImagine,SP,SÃO PAULO,Internet,S/N,S/N,2012,6-10,sbase.me/s/neoimagine,Tração
For3st Tecnologia e Serviços,SP,SANTO ANDRÉ,TIC e Telecom,B2B,S/N,2015,6-10,sbase.me/s/for3st-tecnologia-e-servicos,Operação
Progols,SP,SÃO PAULO,Outros,B2B,S/N,2015,1-5,sbase.me/s/progols,Ideação
Menos Igual Mais,SP,CAMPINAS,Outros,S/N,S/N,2014,6-10,sbase.me/s/menos-igual-mais,Tração
VCerto,SP,SÃO PAULO,TIC e Telecom,B2B,S/N,2012,6-10,sbase.me/s/vcerto,Tração
Soft For Life,SP,BARUERI,Internet,B2B,S/N,2012,6-10,sbase.me/s/soft-for-life,Tração
FastBill Brasil,SP,SÃO PAULO,Outros,B2B,S/N,2014,6-10,sbase.me/s/fastbill-brasil,Tração
CARGOBR,SP,MARÍLIA,Logística e Mobilidade Urbana,B2B,Marketplace,(Não informado),6-10,sbase.me/s/cargobr,Tração
Simple Brasil,SP,SÃO PAULO,Comunicação e Mídia,B2B,S/N,(Não informado),11-20,sbase.me/s/simple-brasil,Ideação
Dando Uma,SP,SÃO PAULO,Outros,P2P,S/N,(Não informado),1-5,sbase.me/s/dando-uma,Ideação
Systematis - Gerente Escolar,SP,CAMPINAS,Outros,B2B,S/N,(Não informado),1-5,sbase.me/s/systematis-gerente-escolar,Ideação
MyTower,SP,SÃO JOSÉ DOS CAMPOS,TIC e Telecom,B2C,E-commerce,2014,6-10,sbase.me/s/mytower,Tração
Escola Mupi,SP,SÃO PAULO,Educação,B2C,SaaS,2013,6-10,sbase.me/s/escola-mupi,Tração
Trekos & Cacarekos,SP,SÃO PAULO,Varejo / Atacado,B2C,S/N,(Não informado),1-5,sbase.me/s/trekos-and-cacarekos,Ideação
MelhorEscola.Net,SP,SÃO PAULO,Educação,B2B,E-commerce,(Não informado),6-10,sbase.me/s/melhorescolanet,Tração
Mercode,SP,SÃO CAETANO DO SUL,Logística e Mobilidade Urbana,B2C,S/N,2013,6-10,sbase.me/s/mercode,Tração
Panólatras,SP,SÃO PAULO,E-commerce,B2C,S/N,2011,6-10,sbase.me/s/panolatras,Tração
Brused,SP,SÃO CAETANO DO SUL,Hardware,B2B2C,Marketplace,(Não informado),6-10,sbase.me/s/brused,Tração
CertBest,SP,SÃO PAULO,Educação,B2C,E-commerce,2014,6-10,sbase.me/s/certbest,Tração
Asgardian Gameworks Entertainment Studio,SP,SÃO PAULO,Games,B2C,S/N,2015,11-20,sbase.me/s/asgardian-gameworks-entertainment-studio,Ideação
ERPNOW,SP,SÃO PAULO,Outros,B2B,SaaS,2012,6-10,sbase.me/s/erpnow,Tração
Pingobox,SP,SÃO PAULO,Varejo / Atacado,B2B,SaaS,2014,11-20,sbase.me/s/pingobox,Operação
Lar21,SP,SÃO PAULO,Outros,B2B,SaaS,2014,6-10,sbase.me/s/lar21,Tração
Yourviews,SP,SÃO PAULO,E-commerce,B2B,S/N,2014,6-10,sbase.me/s/yourviews,Operação
Ponki Marketing Interativo,SP,SÃO PAULO,Varejo / Atacado,B2B,E-commerce,2013,6-10,sbase.me/s/ponki-marketing-interativo,Operação
SAFIRA ERP,SP,SÃO PAULO,Internet,B2B,SaaS,2010,6-10,sbase.me/s/safira-erp,Operação
Pidium,SP,SÃO PAULO,Outros,S/N,S/N,2014,6-10,sbase.me/s/pidium,Operação
Unicase,SP,MARÍLIA,E-commerce,P2P,S/N,2013,6-10,sbase.me/s/unicase,Tração
Vindi - Cobrança Recorrente,SP,SÃO PAULO,Finanças,B2B,SaaS,2013,6-10,sbase.me/s/vindi-cobranca-recorrente,Operação
Aconchego Shop,SP,SÃO PAULO,Varejo / Atacado,B2C,Marketplace,2012,6-10,sbase.me/s/aconchego-shop,Tração
Grenadine Comercial Ltda.,SP,SÃO PAULO,Varejo / Atacado,B2C,S/N,2012,6-10,sbase.me/s/grenadine-comercial-ltda,Tração
Webhome,SP,SÃO PAULO,Outros,B2C,SaaS,2013,6-10,sbase.me/s/webhome,Tração
Natue,SP,SÃO PAULO,Varejo / Atacado,B2C,S/N,2012,51-100,sbase.me/s/natue,Operação
Treinar.me,SP,SÃO PAULO,Internet,S/N,SaaS,2014,6-10,sbase.me/s/treinarme,Tração
Pet Anjo,SP,SÃO PAULO,Pets,B2B2C,Marketplace,2014,6-10,sbase.me/s/pet-anjo,Tração
Vetwork,SP,SÃO PAULO,Outros,B2B,SaaS,2011,6-10,sbase.me/s/vetwork,Operação
WSquare,SP,SÃO PAULO,Mobile,B2C,S/N,2014,6-10,sbase.me/s/wsquare,Tração
Joysticket,SP,SÃO PAULO,Games,B2C,S/N,(Não informado),6-10,sbase.me/s/joysticket,Operação
Curseduca,SP,SÃO PAULO,Educação,B2C,Marketplace,2012,6-10,sbase.me/s/curseduca,Tração
Arbitranet.com.br,SP,RIBEIRÃO PRETO,Direito,B2C,Marketplace,2012,6-10,sbase.me/s/arbitranetcombr,Operação
BeUpper,SP,SÃO PAULO,Internet,B2C,E-commerce,2013,6-10,sbase.me/s/beupper,Operação
Fotic - Plataforma de venda de fotos online e álbum de provas para fotógrafos,SP,SÃO PAULO,Vendas e Marketing,B2C,SaaS,(Não informado),6-10,sbase.me/s/fotic-plataforma-de-venda-de-fotos-online-e-album-de-provas-para-fotografos,Tração
Cobli,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B,SaaS,2014,101-200,sbase.me/s/cobli,Tração
Lean Survey,SP,SÃO PAULO,Gestão,B2B,SaaS,(Não informado),6-10,sbase.me/s/lean-survey,Tração
Qargo Delivery Solution,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B2C,Outros,2018,6-10,sbase.me/s/qargo-delivery-solution,Tração
aGo,SP,SÃO PAULO,Educação,B2B,SaaS,(Não informado),6-10,sbase.me/s/agoapp,Operação
Sagran,SP,SÃO PAULO,E-commerce,B2B2C,E-commerce,2018,1-5,sbase.me/s/sagran,Ideação
Extraclass,SP,SÃO PAULO,Educação,B2B2C,E-commerce,2017,6-10,sbase.me/s/extraclass,Operação
Komus,SP,PRESIDENTE PRUDENTE,Seguros,B2C,Outros,2018,6-10,sbase.me/s/komus,Operação
i4B Solutions Consultoria Ltda,SP,SÃO PAULO,Serviços Profissionais,B2B,Venda de dados,2018,6-10,sbase.me/s/i4b-solutions-consultoria-ltda,Operação
Makeplace,SP,SÃO PAULO,Entretenimento,B2B2C,Marketplace,2017,6-10,sbase.me/s/makeplace,Tração
Synappse Assist,SP,SÃO PAULO,Saúde e Bem-estar,B2B2C,SaaS,2017,1-5,sbase.me/s/synappse-assist,Ideação
Tecexpert Brasil,SP,SÃO PAULO,Serviços Profissionais,B2B,Hardware,2016,6-10,sbase.me/s/tecexpert-brasil,Operação
Logstore,SP,SANTOS,E-commerce,B2B,Hardware,2016,6-10,sbase.me/s/logstore,Tração
Hortie,SP,SÃO PAULO,E-commerce,B2C,E-commerce,2017,6-10,sbase.me/s/hortie,Tração
YBOH Business Mobile,SP,SÃO PAULO,Mobile,B2B2C,SaaS,2012,1-5,sbase.me/s/yboh-business-mobile,Ideação
WebLuto.com,SP,SÃO PAULO,E-commerce,B2B2C,Marketplace,2016,6-10,sbase.me/s/weblutocom,Tração
Homeponic,SP,SÃO PAULO,Casa e Família,B2B2C,E-commerce,2018,1-5,sbase.me/s/homeponic,Ideação
GETBOTS,SP,SÃO PAULO,Advertising,B2B,Consumer,2017,6-10,sbase.me/s/getbots,Operação
Voii,SP,SÃO PAULO,Video,B2B,Outros,2013,6-10,sbase.me/s/voii,Operação
JVM MARKETING,SP,BARUERI,Vendas e Marketing,B2B2C,Venda de dados,1998,11-20,sbase.me/s/jvm-marketing,Ideação
StoryMax,SP,SÃO PAULO,Educação,B2B2C,Consumer,2014,6-10,sbase.me/s/storymax,Tração
Gobefore,SP,SÃO PAULO,Eventos e Turismo,B2B2C,Consumer,2013,6-10,sbase.me/s/gobefore,Tração
Suas Próximas Viagens,SP,SANTA ALBERTINA,Eventos e Turismo,B2C,Consumer,2014,1-5,sbase.me/s/suas-proximas-viagens,Ideação
Taki Pagamentos,SP,SÃO PAULO,Finanças,B2B,Outros,2016,21-50,sbase.me/s/taki-pagamentos,Tração
eSocialmatic,SP,CAMPINAS,Recursos Humanos,B2B,SaaS,2010,6-10,sbase.me/s/esocialmatic,Operação
Etilica,SP,SÃO PAULO,E-commerce,B2B2C,Marketplace,2018,6-10,sbase.me/s/etilica,Operação
3xbit,SP,SÃO PAULO,Finanças,B2C,Marketplace,2018,11-20,sbase.me/s/3xbit,Operação
INTELICS TECNOLOGIA DA INFORMACAO,SP,CAMPINAS,TIC e Telecom,B2B,Hardware,2017,6-10,sbase.me/s/intelics-tecnologia-da-informacao,Operação
Ai-Automobile,SP,CAMPINAS,Automobilismo,B2C,Consumer,(Não informado),1-5,sbase.me/s/ai-automobile,Ideação
Euexpand,SP,BOTUCATU,Comunicação e Mídia,B2B2C,Consumer,2012,6-10,sbase.me/s/euexpand,Tração
Virtopia VR,SP,SÃO PAULO,Desenvolvimento de Software,B2B,SaaS,2017,6-10,sbase.me/s/virtopia-vr,Operação
Sitesouro,SP,SÃO PAULO,Comunicação e Mídia,B2B,Outros,2011,1-5,sbase.me/s/sitesouro,Ideação
4Free Marketing,SP,SÃO CAETANO DO SUL,Vendas e Marketing,B2B,SaaS,(Não informado),6-10,sbase.me/s/4free-marketing,Operação
Multichat,SP,SÃO PAULO,Finanças,B2B,SaaS,2011,1-5,sbase.me/s/multichat,Ideação
Aktie Now,SP,SANTO ANDRÉ,TIC e Telecom,B2B,SaaS,2016,21-50,sbase.me/s/aktie-now,Tração
InstaService Tecnologia e Soluções,SP,BARUERI,Serviços Profissionais,B2B2C,Outros,2018,1-5,sbase.me/s/instaservice-tecnologia-e-solucoes,Ideação
ConectaTMS Consultoria em Gestão de Fretes,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B,Outros,2018,1-5,sbase.me/s/conectatms-consultoria-em-gestao-de-fretes,Ideação
AcordoNet,SP,SÃO PAULO,Outros,B2B,SaaS,2016,6-10,sbase.me/s/acordonet,Tração
EstágioTrainee.com,SP,SÃO PAULO,Recursos Humanos,B2B,Venda de dados,2013,6-10,sbase.me/s/estagiotraineecom,Tração
Mão na Roda,SP,SÃO PAULO,Construção Civil,B2B2C,Marketplace,(Não informado),6-10,sbase.me/s/mao-na-roda,Operação
Time do Sangue,SP,SÃO CARLOS,Saúde e Bem-estar,P2P,Consumer,2016,6-10,sbase.me/s/time-do-sangue,Tração
Brand Broker,SP,GUARULHOS,Seguros,B2B2C,Marketplace,2015,6-10,sbase.me/s/brand-broker,Tração
Webcup,SP,SÃO PAULO,Esportes,B2C,Consumer,2013,6-10,sbase.me/s/webcup,Tração
Vortal,SP,SÃO PAULO,Indústria,B2B,SaaS,2004,6-10,sbase.me/s/vortal,Operação
so+ma,SP,SÃO PAULO,Meio Ambiente,B2B,Venda de dados,2014,6-10,sbase.me/s/soma,Tração
Innovazione,SP,SÃO PAULO,CRM,B2S,Venda de dados,2009,11-20,sbase.me/s/innovazione,Ideação
RemédioCerto,SP,SÃO PAULO,Saúde e Bem-estar,B2B2C,Marketplace,2016,6-10,sbase.me/s/remediocerto,Tração
